"Date","Open","High","Low","Close","Volume"
"11/26/2025","210.05","215.5899","207","214.24","43,073,016"
"11/25/2025","201.475","206.58","194.275","206.13","69,773,500"
"11/24/2025","207.16","217.13","205.85","215.05","46,749,560"
"11/21/2025","208.805","208.83","195","203.78","67,421,150"
"11/20/2025","232.7","234.25","204.53","206.02","66,342,870"
"11/19/2025","230.26","235.2799","219.7101","223.55","52,093,450"
"11/18/2025","236.78","238","224.71","230.29","45,619,850"
"11/17/2025","242.745","248.77","237.15","240.52","37,942,210"
"11/14/2025","240.11","253.44","235.08","246.81","47,655,640"
"11/13/2025","251.9","259.6309","246.06","247.96","63,178,590"
"11/12/2025","253.13","263.51","250","258.89","108,942,000"
"11/11/2025","241.655","248.46","234.64","237.52","61,336,770"
"11/10/2025","242.135","248.9","240.5","243.98","43,361,640"
"11/07/2025","230.94","235.87","224.6401","233.54","52,162,580"
"11/06/2025","253.465","253.51","235.74","237.7","66,049,700"
"11/05/2025","243.24","259.65","242.805","256.33","67,366,570"
"11/04/2025","250.35","257.38","247.39","250.05","56,491,830"
"11/03/2025","259.33","260.91","253.89","259.65","36,351,420"
"10/31/2025","259.6","262.13","253.4064","256.12","34,449,210"
"10/30/2025","259.92","263.88","252.31","254.84","45,162,490"
"10/29/2025","264.19","267.0799","257.4044","264.33","49,335,590"
"10/28/2025","259.14","264.58","257","258.01","47,448,670"
"10/27/2025","257.88","260.42","249.8001","259.67","65,613,110"
"10/24/2025","243.36","253.39","241.95","252.92","71,221,140"
"10/23/2025","230.16","235.9","228.54","234.99","39,024,430"
"10/22/2025","236.85","240.1324","224.88","230.23","59,668,780"
"10/21/2025","239.39","242.26","234.02","238.03","47,122,390"
"10/20/2025","236.465","242.88","234.4","240.56","56,741,700"
"10/17/2025","233.26","235.38","227.91","233.08","55,804,200"
"10/16/2025","236.285","241.2","232.24","234.56","69,726,440"
"10/15/2025","222.705","239.24","220.7601","238.6","108,481,000"
"10/14/2025","219.2","224.98","215.9","218.09","71,216,270"
"10/13/2025","220.2","224.1899","214.9","216.42","63,104,020"
"10/10/2025","232.77","234.22","213.2001","214.9","118,656,600"
"10/09/2025","236.3","240.1","229.53","232.89","94,290,740"
"10/08/2025","212.95","235.87","210.695","235.56","159,983,500"
