Entity,Code,Year,Annual Working hours per worker
United Kingdom,GBR,1953,2004.87
United Kingdom,GBR,1954,2008.71
United Kingdom,GBR,1955,2007.26
United Kingdom,GBR,1956,1994.68
United Kingdom,GBR,1957,1974.74
United Kingdom,GBR,1958,1947.15
United Kingdom,GBR,1959,1956.21
United Kingdom,GBR,1960,1948.19
United Kingdom,GBR,1961,1914.14
United Kingdom,GBR,1962,1879.16
United Kingdom,GBR,1963,1871.34
United Kingdom,GBR,1964,1871.56
United Kingdom,GBR,1965,1850.01
United Kingdom,GBR,1966,1798.18
United Kingdom,GBR,1967,1786.99
United Kingdom,GBR,1968,1780.21
United Kingdom,GBR,1969,1771.32
United Kingdom,GBR,1970,1732.69
United Kingdom,GBR,1971,1694.95
United Kingdom,GBR,1972,1714.61
United Kingdom,GBR,1973,1722.84
United Kingdom,GBR,1974,1708.99
United Kingdom,GBR,1975,1680.07
United Kingdom,GBR,1976,1673.54
United Kingdom,GBR,1977,1682.71
United Kingdom,GBR,1978,1683.74
United Kingdom,GBR,1979,1681.38
United Kingdom,GBR,1980,1653.51
United Kingdom,GBR,1981,1619.91
United Kingdom,GBR,1982,1616.49
United Kingdom,GBR,1983,1611.05
United Kingdom,GBR,1984,1616.8
United Kingdom,GBR,1985,1618.95
United Kingdom,GBR,1986,1614
United Kingdom,GBR,1987,1618.48
United Kingdom,GBR,1988,1625.11
United Kingdom,GBR,1989,1628.65
United Kingdom,GBR,1990,1616.97
United Kingdom,GBR,1991,1593.45
United Kingdom,GBR,1992,1587.69
United Kingdom,GBR,1993,1583.98
United Kingdom,GBR,1994,1593.49
United Kingdom,GBR,1995,1595.38
United Kingdom,GBR,1996,1594.88
United Kingdom,GBR,1997,1594.05
United Kingdom,GBR,1998,1590.17
United Kingdom,GBR,1999,1582.4
United Kingdom,GBR,2000,1567.9
United Kingdom,GBR,2001,1570.7
United Kingdom,GBR,2002,1554.57
United Kingdom,GBR,2003,1546.06
United Kingdom,GBR,2004,1543.6
United Kingdom,GBR,2005,1546.39
United Kingdom,GBR,2006,1541.07
United Kingdom,GBR,2007,1542.77
United Kingdom,GBR,2008,1537.81
United Kingdom,GBR,2009,1517.31
United Kingdom,GBR,2010,1521.83
United Kingdom,GBR,2011,1518.52
United Kingdom,GBR,2012,1531.42
United Kingdom,GBR,2013,1540.17
United Kingdom,GBR,2014,1545.64
United Kingdom,GBR,2015,1543.13
United Kingdom,GBR,2016,1541.27
United Kingdom,GBR,2017,1542.26
United Kingdom,GBR,2018,1537.13
United Kingdom,GBR,2019,1544.63
United Kingdom,GBR,2020,1391.63
United Kingdom,GBR,2021,1489.71
United Kingdom,GBR,2022,1528.88
United Kingdom,GBR,2023,1522.8
United States,USA,1953,2053.91
United States,USA,1954,2030.68
United States,USA,1955,2038.46
United States,USA,1956,2023.37
United States,USA,1957,1995.38
United States,USA,1958,1960.95
United States,USA,1959,1986.87
United States,USA,1960,1968.41
United States,USA,1961,1953.61
United States,USA,1962,1973.51
United States,USA,1963,1961.96
United States,USA,1964,1971.53
United States,USA,1965,1991.91
United States,USA,1966,2000.82
United States,USA,1967,1977.72
United States,USA,1968,1974.18
United States,USA,1969,1975.34
United States,USA,1970,1930.72
United States,USA,1971,1914.99
United States,USA,1972,1911.75
United States,USA,1973,1910.32
United States,USA,1974,1882.34
United States,USA,1975,1850.8
United States,USA,1976,1846.91
United States,USA,1977,1847.02
United States,USA,1978,1853.67
United States,USA,1979,1856.07
United States,USA,1980,1840.47
United States,USA,1981,1828.64
United States,USA,1982,1809.88
United States,USA,1983,1819.48
United States,USA,1984,1835.54
United States,USA,1985,1840.8
United States,USA,1986,1821.1
United States,USA,1987,1828.61
United States,USA,1988,1839.12
United States,USA,1989,1852.08
United States,USA,1990,1836.18
United States,USA,1991,1827.74
United States,USA,1992,1815.51
United States,USA,1993,1831.55
United States,USA,1994,1850.24
United States,USA,1995,1860.37
United States,USA,1996,1865.89
United States,USA,1997,1872.51
United States,USA,1998,1883.08
United States,USA,1999,1886.01
United States,USA,2000,1887.58
United States,USA,2001,1866.69
United States,USA,2002,1847.99
United States,USA,2003,1832.54
United States,USA,2004,1831.55
United States,USA,2005,1829.11
United States,USA,2006,1831.26
United States,USA,2007,1828.84
United States,USA,2008,1808.99
United States,USA,2009,1764.89
United States,USA,2010,1773.37
United States,USA,2011,1782.51
United States,USA,2012,1784.7
United States,USA,2013,1791.31
United States,USA,2014,1797.12
United States,USA,2015,1808.72
United States,USA,2016,1802.6
United States,USA,2017,1795.58
United States,USA,2018,1804.19
United States,USA,2019,1796.65
United States,USA,2020,1777.88
United States,USA,2021,1788.7
United States,USA,2022,1789.59
United States,USA,2023,1788.88
