Entity,Code,Year,GDP per capita,900793-annotations
United Kingdom,GBR,1000,1151,
United Kingdom,GBR,1252,1320,
United Kingdom,GBR,1253,1328,
United Kingdom,GBR,1254,1317,
United Kingdom,GBR,1255,1285,
United Kingdom,GBR,1256,1255,
United Kingdom,GBR,1257,1240,
United Kingdom,GBR,1258,1418,
United Kingdom,GBR,1259,1191,
United Kingdom,GBR,1260,1292,
United Kingdom,GBR,1261,1286,
United Kingdom,GBR,1262,1219,
United Kingdom,GBR,1263,1205,
United Kingdom,GBR,1264,1182,
United Kingdom,GBR,1265,1185,
United Kingdom,GBR,1266,1401,
United Kingdom,GBR,1267,1313,
United Kingdom,GBR,1268,1211,
United Kingdom,GBR,1269,1225,
United Kingdom,GBR,1270,1192,
United Kingdom,GBR,1271,1177,
United Kingdom,GBR,1272,1220,
United Kingdom,GBR,1273,1149,
United Kingdom,GBR,1274,1143,
United Kingdom,GBR,1275,1304,
United Kingdom,GBR,1276,1146,
United Kingdom,GBR,1277,1222,
United Kingdom,GBR,1278,1265,
United Kingdom,GBR,1279,1048,
United Kingdom,GBR,1280,1058,
United Kingdom,GBR,1281,1118,
United Kingdom,GBR,1282,1078,
United Kingdom,GBR,1283,1019,
United Kingdom,GBR,1284,1048,
United Kingdom,GBR,1285,1055,
United Kingdom,GBR,1286,1034,
United Kingdom,GBR,1287,1125,
United Kingdom,GBR,1288,1085,
United Kingdom,GBR,1289,995,
United Kingdom,GBR,1290,1004,
United Kingdom,GBR,1291,1006,
United Kingdom,GBR,1292,1060,
United Kingdom,GBR,1293,1086,
United Kingdom,GBR,1294,1078,
United Kingdom,GBR,1295,1155,
United Kingdom,GBR,1296,1202,
United Kingdom,GBR,1297,1151,
United Kingdom,GBR,1298,1211,
United Kingdom,GBR,1299,1167,
United Kingdom,GBR,1300,1159,
United Kingdom,GBR,1301,1168,
United Kingdom,GBR,1302,1199,
United Kingdom,GBR,1303,1249,
United Kingdom,GBR,1304,1130,
United Kingdom,GBR,1305,1162,
United Kingdom,GBR,1306,1129,
United Kingdom,GBR,1307,1184,
United Kingdom,GBR,1308,1199,
United Kingdom,GBR,1309,1229,
United Kingdom,GBR,1310,1213,
United Kingdom,GBR,1311,1257,
United Kingdom,GBR,1312,1224,
United Kingdom,GBR,1313,1246,
United Kingdom,GBR,1314,1247,
United Kingdom,GBR,1315,1121,
United Kingdom,GBR,1316,1072,
United Kingdom,GBR,1317,1136,
United Kingdom,GBR,1318,1270,
United Kingdom,GBR,1319,1292,
United Kingdom,GBR,1320,1266,
United Kingdom,GBR,1321,1085,
United Kingdom,GBR,1322,1156,
United Kingdom,GBR,1323,1215,
United Kingdom,GBR,1324,1122,
United Kingdom,GBR,1325,1230,
United Kingdom,GBR,1326,1245,
United Kingdom,GBR,1327,1222,
United Kingdom,GBR,1328,1135,
United Kingdom,GBR,1329,1193,
United Kingdom,GBR,1330,1161,
United Kingdom,GBR,1331,1106,
United Kingdom,GBR,1332,1163,
United Kingdom,GBR,1333,1197,
United Kingdom,GBR,1334,1156,
United Kingdom,GBR,1335,1107,
United Kingdom,GBR,1336,1159,
United Kingdom,GBR,1337,1283,
United Kingdom,GBR,1338,1307,
United Kingdom,GBR,1339,1066,
United Kingdom,GBR,1340,1194,
United Kingdom,GBR,1341,1205,
United Kingdom,GBR,1342,1261,
United Kingdom,GBR,1343,1225,
United Kingdom,GBR,1344,1307,
United Kingdom,GBR,1345,1216,
United Kingdom,GBR,1346,1155,
United Kingdom,GBR,1347,1199,
United Kingdom,GBR,1348,1229,
United Kingdom,GBR,1349,1154,
United Kingdom,GBR,1350,1314,
United Kingdom,GBR,1351,1519,
United Kingdom,GBR,1352,1574,
United Kingdom,GBR,1353,1579,
United Kingdom,GBR,1354,1512,
United Kingdom,GBR,1355,1559,
United Kingdom,GBR,1356,1537,
United Kingdom,GBR,1357,1567,
United Kingdom,GBR,1358,1575,
United Kingdom,GBR,1359,1592,
United Kingdom,GBR,1360,1581,
United Kingdom,GBR,1361,1526,
United Kingdom,GBR,1362,1486,
United Kingdom,GBR,1363,1443,
United Kingdom,GBR,1364,1603,
United Kingdom,GBR,1365,1531,
United Kingdom,GBR,1366,1578,
United Kingdom,GBR,1367,1481,
United Kingdom,GBR,1368,1471,
