Entity,Code,Year,Average years of schooling
United Kingdom,GBR,1990,9.63681
United Kingdom,GBR,1991,9.725799
United Kingdom,GBR,1992,9.814787
United Kingdom,GBR,1993,9.903775
United Kingdom,GBR,1994,9.992764
United Kingdom,GBR,1995,10.081753
United Kingdom,GBR,1996,10.205468
United Kingdom,GBR,1997,10.329185
United Kingdom,GBR,1998,10.4529
United Kingdom,GBR,1999,10.576616
United Kingdom,GBR,2000,10.700332
United Kingdom,GBR,2001,10.954275
United Kingdom,GBR,2002,11.208218
United Kingdom,GBR,2003,11.462161
United Kingdom,GBR,2004,11.716104
United Kingdom,GBR,2005,11.970047
United Kingdom,GBR,2006,12.250035
United Kingdom,GBR,2007,12.530024
United Kingdom,GBR,2008,12.810012
United Kingdom,GBR,2009,13.09
United Kingdom,GBR,2010,13.21
United Kingdom,GBR,2011,13.19
United Kingdom,GBR,2012,13.34
United Kingdom,GBR,2013,12.83
United Kingdom,GBR,2014,12.89
United Kingdom,GBR,2015,12.9800005
United Kingdom,GBR,2016,13.07
United Kingdom,GBR,2017,13.16
United Kingdom,GBR,2018,13.243333
United Kingdom,GBR,2019,13.326667
United Kingdom,GBR,2020,13.41
United Kingdom,GBR,2021,13.49
United Kingdom,GBR,2022,13.49
United Kingdom,GBR,2023,13.49
