X,Y,Y_Err
0.0,22.89007211672866,3.0
1.0,18.996963277864936,3.06
2.0,18.721466142612368,3.12
3.0,15.161875416427936,3.18
4.0,18.68621018756854,3.24
5.0,12.10048707568585,3.3
6.0,13.926816408922313,3.36
7.0,13.1431208768304,3.42
8.0,14.761254699050854,3.48
9.0,18.08686568452611,3.54
10.0,12.505893344185512,3.6
11.0,15.748245513196123,3.66
12.0,21.472884646620162,3.7199999999999998
13.0,16.71348606855911,3.7800000000000002
14.0,9.152850465618815,3.84
15.0,16.341124735085387,3.9
16.0,13.036287587790362,3.96
17.0,20.767567215721613,4.02
18.0,16.479781706956377,4.08
19.0,27.4540559732908,4.140000000000001
20.0,31.08230639155751,4.2
21.0,18.982319307488357,4.26
22.0,29.077383102838503,4.32
23.0,23.248969090691087,4.38
24.0,27.119167512616567,4.4399999999999995
25.0,21.321585840981825,4.5
26.0,26.16710521742498,4.5600000000000005
27.0,32.360588612942806,4.62
28.0,34.144512384731186,4.68
29.0,32.08759582704546,4.74
30.0,26.595121061935863,4.8
31.0,37.23185100854711,4.859999999999999
32.0,35.60508634273052,4.92
33.0,44.24543078297827,4.98
34.0,48.207450669738265,5.04
35.0,52.996310518030896,5.1
36.0,47.51723076850337,5.16
37.0,48.79870283342511,5.22
38.0,61.89744246595724,5.28
39.0,59.22426183733549,5.34
40.0,65.25035098319985,5.4
41.0,65.80144728619189,5.46
42.0,62.06099944031975,5.52
43.0,74.46074354076828,5.58
44.0,73.51613054049083,5.640000000000001
45.0,72.61859959429637,5.7
46.0,78.73378531626344,5.76
47.0,79.64307801227304,5.82
48.0,86.75147796991456,5.88
49.0,90.5015120751522,5.9399999999999995
50.0,88.92158732449681,6.0
51.0,99.2019717706345,6.0600000000000005
52.0,90.89617149693308,6.12
53.0,112.30894499844827,6.18
54.0,105.22863423633169,6.24
55.0,107.41462356442564,6.300000000000001
56.0,107.28153710237102,6.36
57.0,116.70321336772417,6.42
58.0,128.3206258129775,6.4799999999999995
59.0,136.31322849995325,6.54
60.0,141.13105602899537,6.6
61.0,150.56401492042684,6.66
62.0,151.45252100715427,6.72
63.0,168.1567566027482,6.78
64.0,169.21534161429264,6.84
65.0,169.3001872026659,6.9
66.0,180.09600328708962,6.96
67.0,180.72013557865893,7.0200000000000005
68.0,196.82336997857945,7.08
69.0,193.33294106575693,7.14
70.0,189.94292694765542,7.199999999999999
71.0,180.31117249173016,7.26
72.0,208.8862126594408,7.32
73.0,214.14541083584874,7.38
74.0,231.89734415883595,7.4399999999999995
75.0,274.0321258664151,7.5
76.0,239.81972816089714,7.5600000000000005
77.0,249.0705910658871,7.62
78.0,250.4894691743294,7.68
79.0,259.2868086107315,7.74
80.0,256.65043160999403,7.800000000000001
81.0,258.8176244944388,7.86
82.0,284.7024520315624,7.92
83.0,278.0166607164653,7.9799999999999995
84.0,286.34999645018905,8.04
85.0,281.88465879769996,8.1
86.0,320.89047436414927,8.16
87.0,316.9460673659605,8.219999999999999
88.0,312.9333125383805,8.280000000000001
89.0,331.34304085393813,8.34
90.0,339.1802470839032,8.4
91.0,354.6514010750726,8.46
92.0,342.12762562603905,8.52
93.0,357.8879554821208,8.58
94.0,353.5850309498771,8.64
95.0,360.13965104570303,8.7
96.0,378.1163976973285,8.76
97.0,390.1000218183461,8.82
98.0,413.1173245700275,8.879999999999999
99.0,419.12981842100817,8.94
